                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64378,                0.67148,                 1.2002,                0.77917,                0.81487,                 0.8614,                0.56973,                 1.2416,                0.91383,                 2.1078,               0.003268,               0.003268,               0.003268
                     36,                0.62721,                0.66666,                 1.1958,                0.81748,                0.80756,                0.87562,                0.60118,                 1.1661,                0.85171,                 1.9843,                0.00307,                0.00307,                0.00307
                     37,                0.62791,                0.64949,                   1.19,                0.80989,                0.83079,                0.87661,                0.58314,                 1.2107,                0.88637,                 2.0251,               0.002872,               0.002872,               0.002872
                     38,                0.61221,                0.62988,                 1.1861,                0.88331,                0.78857,                0.88024,                0.59595,                 1.1515,                0.86253,                 1.9789,               0.002674,               0.002674,               0.002674
                     39,                0.60197,                 0.6146,                 1.1773,                  0.853,                0.80849,                 0.8906,                0.60228,                 1.1587,                0.84106,                 1.9704,               0.002476,               0.002476,               0.002476
                     40,                0.55044,                0.49732,                 1.2385,                0.87295,                0.80986,                0.88033,                0.58623,                 1.1982,                0.82337,                  2.034,               0.002278,               0.002278,               0.002278
                     41,                0.52147,                0.45733,                 1.1946,                0.84431,                0.78988,                0.87674,                0.60522,                 1.1569,                0.85703,                 1.9956,                0.00208,                0.00208,                0.00208
                     42,                0.50208,                0.40966,                 1.1708,                0.83641,                0.80276,                0.86722,                0.60112,                 1.1516,                0.85904,                 1.9747,               0.001882,               0.001882,               0.001882
                     43,                0.49291,                0.38973,                 1.1482,                0.76861,                0.86496,                0.85899,                0.58652,                 1.1675,                0.95268,                 2.0017,               0.001684,               0.001684,               0.001684
                     44,                0.46294,                0.37519,                 1.1329,                0.83136,                 0.8029,                0.85389,                 0.5912,                 1.1322,                0.87233,                 2.0013,               0.001486,               0.001486,               0.001486
                     45,                 0.4566,                0.36339,                 1.1281,                0.87067,                0.78692,                0.87352,                0.61418,                 1.1297,                0.87227,                 1.9756,               0.001288,               0.001288,               0.001288
                     46,                0.44467,                0.35191,                 1.1125,                0.84137,                0.85363,                0.86885,                0.61081,                 1.1249,                 0.8422,                 1.9896,                0.00109,                0.00109,                0.00109
                     47,                0.42672,                0.33627,                 1.0902,                0.85085,                0.79891,                0.87842,                0.62896,                 1.1191,                 0.8591,                 1.9848,               0.000892,               0.000892,               0.000892
                     48,                0.42057,                0.33164,                 1.0925,                0.83697,                0.84927,                0.89565,                0.63749,                 1.1088,                0.80921,                 1.9821,               0.000694,               0.000694,               0.000694
                     49,                0.40713,                0.31399,                 1.0744,                0.83701,                0.84865,                0.89488,                0.64365,                 1.0843,                0.79641,                 1.9323,               0.000496,               0.000496,               0.000496
